lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,What does the map in the report shows?,"[7185, 16456, 6380, 20943, 7552, 20948, 20941, 7764, 20947, 20942]",[1042],Not Found,0.0
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,What year is the report for?,"[16456, 5960, 20938, 20909, 6887, 8319, 532, 588, 6450, 8692]",[925],Not Found,0.0
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,What are the uses of Indian remote sensing satellite constellation?,"[1028, 948, 1029, 1010, 1008, 983, 1027, 968, 1042, 1002]","[939, 948]",2,0.5
0.5,fdac8d1e9ef56519371df7e6532df27d,Research report / Introduction,"Of the four missions of Indian Space Program's space mission from 2012 to 2017, which mission includes the launch of least number of satellites?","[922, 945, 946, 1018, 968, 927, 976, 1039, 942, 943]","[921, 922]",1,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"Between Java and WP, how large is the difference in percentage of their global developers mindshare?","[19553, 19551, 19542, 19552, 8815, 8859, 10512, 8858, 9272, 25177]","[19553, 19549]",1,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"In 2014, which one has more mobile apps globally, Apple App store or Google Play store? How many Apps does it have in million?","[19556, 19555, 19672, 8858, 23777, 23725, 23673, 26523, 19544, 23681]","[19553, 19556]",1,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"Which APP on APPOTA platform is top 10 Vietnam Android App, but not top 10 Vietnam iOS App?","[19672, 23634, 19665, 8844, 8858, 19666, 19662, 19574, 19553, 19667]","[19666, 19663]",6,0.5
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"As of Q3 2015, are there more active Instagram users in Vietnam, or are there more fans for Appota's fan page? Directly answer 'Instagram' or 'Appota'.","[19688, 19526, 19704, 19700, 8858, 19531, 19667, 3658, 19623, 19664]","[19651, 19687, 19657, 19658, 19689, 19690]",Not Found,0.0
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,"As of Q3 2015, is vietnam's adoption rate of iOS 9 higher or lower than a global average rate? What is the difference in percentage?","[19544, 19582, 534, 19593, 4644, 4643, 4646, 3139, 17508, 3142]","[19545, 19580]",Not Found,0.0
0.5,reportq32015-151009093138-lva1-app6891_95,Research report / Introduction,Which news appear in both Vietnam mobile news and APPOTA news?,"[19534, 19672, 19563, 19566, 19565, 19564, 19673, 19668, 19669, 19676]","[19569, 19674]",Not Found,0.0
0.5,honor_watch_gs_pro,Guidebook,What is the time on the gallery screenshot when demostrating how to set galley watch faces?,"[26571, 2853, 26572, 11108, 11110, 11075, 26573, 26574, 26576, 9048]","[2857, 2858, 2859]",Not Found,0.0
0.5,honor_watch_gs_pro,Guidebook,What is the color on the watch that shows the aerobic zone?,"[26604, 26688, 2498, 26501, 2500, 2503, 2484, 2504, 2530, 2468]",[2660],Not Found,0.0
0.5,honor_watch_gs_pro,Guidebook,What are the colors of the icons that the users touch to move the app up and remove the app respectively?,"[2578, 18087, 24332, 24333, 2832, 2572, 18250, 9231, 18290, 26765]","[2578, 2564]",1,0.5
0.5,honor_watch_gs_pro,Guidebook,How many distinct button functions are there during a workout?,"[2535, 2534, 2533, 9021, 19199, 9020, 18118, 24118, 8980, 18116]","[2530, 2534, 2535]",1,0.67
0.5,nova_y70,Guidebook,"Under the pro mode to shoot, what is the function of the icon on right hand side of the icon that select a focus mode?","[18532, 22867, 26756, 19428, 1288, 9058, 18417, 9109, 18624, 24811]",[18471],Not Found,0.0
0.5,nova_y70,Guidebook,What devices other than phone are introduced for setting device+?,"[18183, 2829, 18390, 18311, 18704, 26763, 26564, 2856, 26666, 2589]","[18182, 18183, 18184, 18185, 18169]",1,0.2
0.5,watch_d,Guidebook,"At a position on your wrist that is about the width of two fingers away from the bottom of your palm, put the end of the ruler that comes with the watch through the buckle on the head. How many cm is this two fingers' distance according to the fogure?","[26538, 26560, 26540, 9110, 9259, 24410, 24417, 24436, 24408, 18367]","[26539, 26525, 26541]",Not Found,0.0
0.5,watch_d,Guidebook,How many steps are needed to customize the function of the Down Button?,"[9871, 11700, 23844, 11699, 724, 2475, 8894, 5281, 9869, 9721]","[26589, 26590, 26591]",Not Found,0.0
0.5,watch_d,Guidebook,What will happen when you press and hold the down button?,"[2574, 26643, 2526, 26590, 2534, 26592, 2532, 26637, 2572, 2608]",[26503],Not Found,0.0
0.5,fd76bbefe469561966e5387aa709c482,Academic paper,What is the title of the of the Figure 2?,"[18973, 18866, 14312, 24681, 24679, 26152, 18940, 18941, 18867, 14165]","[851, 852]",Not Found,0.0
0.5,fd76bbefe469561966e5387aa709c482,Academic paper,"Among figure 1-4, how many figures show more than one breccia gash?","[4739, 3907, 850, 1380, 1381, 23899, 19375, 18235, 26642, 19199]","[850, 851, 853, 854]",3,0.25
0.5,finalpresentationdeck-whatwhyhowofcertificationsocial-160324220748_95,Brochure,"Regarding the table for 3rd sampled question for the exam, what is the total number of non-response InMails for Recruiter A and B?","[1120, 1316, 1260, 1311, 1139, 1317, 1141, 11106, 1318, 1258]",[1267],Not Found,0.0
0.5,finalpresentationdeck-whatwhyhowofcertificationsocial-160324220748_95,Brochure,How many sampled questions illustrated in this slide?,"[24303, 1258, 1244, 11106, 12866, 13010, 1308, 10751, 12999, 14828]","[1264, 1261, 1266, 1269]",Not Found,0.0
0.5,finalpresentationdeck-whatwhyhowofcertificationsocial-160324220748_95,Brochure,What is the second FAQ shown in this slides?,"[10217, 9844, 10216, 9326, 10238, 10239, 9340, 9342, 10544, 10177]","[1312, 1309]",Not Found,0.0
0.5,finalmediafindingspdf-141228031149-conversion-gate02_95,Research report / Introduction,What is the color of Kailali in the map of Page 12?,"[1280, 15601, 20249, 26986, 8857, 1123, 17857, 17318, 26220, 12087]",[1147],Not Found,0.0
0.5,finalmediafindingspdf-141228031149-conversion-gate02_95,Research report / Introduction,"Among 4021 respondents,  what is the percentage of them having a smart phone?","[1152, 1163, 1150, 1167, 1114, 1175, 1128, 1130, 1136, 1120]","[1194, 1197, 1198]",Not Found,0.0
0.5,finalmediafindingspdf-141228031149-conversion-gate02_95,Research report / Introduction,Enumerate the media sources surveyed in this report.,"[1175, 1066, 1082, 1202, 15458, 1210, 1084, 1072, 1167, 1183]","[1209, 1211, 1213, 1207]",Not Found,0.0
0.5,finalmediafindingspdf-141228031149-conversion-gate02_95,Research report / Introduction,How many female respondents in wave III never listen to the radio in recent half year?,"[15561, 1153, 2214, 14882, 15346, 15760, 26207, 14947, 15021, 14859]","[1152, 1153, 1132, 1118]",2,0.25
0.5,guojixueshengshenghuozhinanyingwen9.1,Guidebook,"What is the place locating at the intersection between Zijing Road and Xuetang Road? Give me the letter shown in the campus map of this guideline.  For example, ""A"". ","[2076, 2219, 2078, 2104, 2175, 1992, 2215, 2098, 2332, 2226]",[2409],Not Found,0.0
0.5,guojixueshengshenghuozhinanyingwen9.1,Guidebook,"How many QR codes are shown in the ""Academics and Related Resources"" part of this guidebook?","[2429, 2181, 2052, 2304, 2255, 2254, 5026, 2511, 2418, 2313]","[2304, 2313, 2254, 2255, 2299]",4,0.8
0.5,guojixueshengshenghuozhinanyingwen9.1,Guidebook,"I'm at the location ""J"" shown in the campus map. Tell me the name of the nearest coffee shop.","[2409, 2407, 1874, 1990, 1984, 2100, 26806, 26851, 2158, 2154]","[2104, 2409]",1,0.5
0.5,indonesiamobilemarketresearch-ag-150106055934-conversion-gate02_95,Research report / Introduction,Which group accounts for the second largest share in terms of religious demographics in Slide 4 in 2014?,"[19586, 21468, 7130, 8785, 8783, 577, 17972, 19553, 17966, 16101]",[8773],Not Found,0.0
0.5,indonesiamobilemarketresearch-ag-150106055934-conversion-gate02_95,Research report / Introduction,What is the name of the second largest telecom operator in terms of the number of subscribers in the period 2013-2014?,"[8783, 8796, 8793, 8806, 8807, 8808, 8792, 8802, 8805, 8803]",[8790],Not Found,0.0
0.5,indonesiamobilemarketresearch-ag-150106055934-conversion-gate02_95,Research report / Introduction,"Comparing to the Telecom Operators in 2014 and 2013-2014, What are the Operators that are not in common? Please list the names in list format, e.g., [""a"",""b""] ","[8796, 8793, 8792, 8806, 8803, 8783, 8795, 8805, 8804, 8801]","[8793, 8790]",2,0.5
0.5,indonesiamobilemarketresearch-ag-150106055934-conversion-gate02_95,Research report / Introduction,What are the Online Games native major internet companies and the Telecom Operator name of the second largest Prepaid ARPU in 2008? Please list the answer in list with reverse alphabetical order.,"[8795, 8796, 8803, 8804, 8797, 8802, 8801, 10791, 19906, 487]","[8828, 8796]",2,0.5
0.5,indonesiamobilemarketresearch-ag-150106055934-conversion-gate02_95,Research report / Introduction,What is the chart legend name that with a flag in the slide 31 have from 2008-2012?,"[2409, 21185, 2168, 10285, 10281, 22566, 17995, 10277, 19341, 5792]",[8867],Not Found,0.0
0.5,obs-productdesc-en,Guidebook,"How many ""objects"" with black color does the figure in Page 2 contains?","[21142, 25685, 19809, 1984, 20625, 21244, 16984, 26900, 20629, 16304]",[18747],Not Found,0.0
0.5,obs-productdesc-en,Guidebook,What is the benefit of level-2 in the system has passed TRUCS in Page 8?,"[18765, 14912, 16230, 16005, 14360, 15407, 17245, 11014, 16952, 9638]","[18761, 18764]",Not Found,0.0
0.5,obs-productdesc-en,Guidebook,How many end-use mobile electronic devices are contained in the Enterprise cloud boxes (web disks) in the flow chart? ,"[18825, 18828, 19905, 8873, 24688, 8851, 18763, 20091, 24522, 23994]","[18828, 18821]",2,0.5
0.5,obs-productdesc-en,Guidebook,How many common operations supported by each system-defined policy or role of OBS? Write down the answer in int format.,"[18898, 18899, 18858, 18761, 18835, 18757, 18760, 18837, 18830, 18908]","[18897, 18899, 18900, 18901, 18902]",2,0.2
0.5,welcome-to-nus,Brochure,How many NUSSU constituent clubs and NUSSU committees are there respectively? Please write the answer in list format.,"[26905, 26921, 26904, 26907, 26908, 26906, 26909, 26963, 26924, 27091]","[26912, 26910]",Not Found,0.0
0.5,welcome-to-nus,Brochure,How many people are there in the Figure from page 19 to page 21? Please write the answer in float format.,"[21363, 3421, 9474, 21943, 21317, 19041, 8124, 21944, 9350, 3423]","[26932, 26925, 26919]",Not Found,0.0
0.5,welcome-to-nus,Brochure,"How many Halls of Residence,  Residential colleges,  and studsent residences are there in NUS respectively? Please write the answer in list with ascending order, e.g., [""1"",""2""]","[26802, 26905, 27000, 26876, 26963, 27091, 26810, 26907, 26921, 26788]","[26988, 26994, 26995, 26996, 26998, 26999, 27000, 27002, 27007]",3,0.11
0.5,welcome-to-nus,Brochure,"For the learning resources, which facilities are opened on Saturday in NUS Kent Ridge Campus? Give me a list.","[26800, 26802, 26803, 26995, 26923, 26908, 27097, 26833, 26804, 1959]","[27040, 27044, 27016, 27049, 27035, 27036]",Not Found,0.0
0.5,f8d3a162ab9507e021d83dd109118b60,Administration/Industry file,How many quizzes are there in the entire course?,"[836, 805, 818, 811, 605, 619, 795, 603, 596, 823]","[805, 811, 818, 823, 795, 796, 799]",2,0.71
0.5,f8d3a162ab9507e021d83dd109118b60,Administration/Industry file,"How many quizzes are there in units 4, 5, and 6 combined?","[17980, 805, 654, 570, 823, 17961, 20847, 653, 705, 639]","[633, 641, 654]",3,0.33
0.5,f8d3a162ab9507e021d83dd109118b60,Administration/Industry file,How many lines are highlighted in yellow on the first page? Give me an integer.,"[19272, 21370, 21373, 22086, 24324, 18076, 21763, 21374, 19041, 21363]",[596],Not Found,0.0
0.5,f8d3a162ab9507e021d83dd109118b60,Administration/Industry file,How to prepare for Tomorrow's Workplace Skills for QUARTER 3? ,"[821, 819, 820, 816, 824, 806, 698, 647, 645, 682]","[819, 797]",2,0.5
0.5,f8d3a162ab9507e021d83dd109118b60,Administration/Industry file,what are the names of Unit 1 and Unit 2 in Semester 1:quarter 1?,"[814, 813, 641, 26823, 656, 689, 621, 674, 704, 705]","[609, 615]",Not Found,0.0
0.5,f8d3a162ab9507e021d83dd109118b60,Administration/Industry file,What is the title of case study given under unit-8 in table?,"[799, 797, 800, 798, 796, 801, 802, 628, 627, 619]",[671],Not Found,0.0
0.5,f8d3a162ab9507e021d83dd109118b60,Administration/Industry file,How many critical thinking case studies are included in all the assignments?,"[796, 798, 627, 801, 628, 802, 799, 797, 800, 619]","[619, 628, 614, 671]",5,0.5
