lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,According to the chart on page 14 how much time was spent with family and friends in 2010?,"[405, 406, 361, 1991, 13515, 362, 2066, 14052, 12691, 23716]","[404, 405]",1,0.5
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Which category has the most increase from 2005 to 2010 for time spent on weedends?,"[21653, 20985, 21682, 22549, 21401, 20569, 1195, 1193, 1196, 5002]","[404, 405]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"In figure 1, which relation arrows do not point to specific leaf nodes?","[24450, 25049, 19956, 19957, 19960, 26038, 24406, 3503, 24990, 24809]",[25992],Not Found,0.0
0.5,2310.05634v2,Academic paper,"In figure 5, what is the color of the line that has no intersection with any other line?","[24019, 24097, 13223, 23991, 1170, 24121, 24864, 24119, 24113, 24091]",[26078],Not Found,0.0
0.5,2310.05634v2,Academic paper,"How many tables include ""F1"" as a metric?","[2117, 22600, 3470, 22613, 3885, 22568, 22630, 341, 24484, 22579]","[26057, 26068, 26062, 26084]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"From the paper, which temperature gives ChatGPT the highest alignment score?","[26248, 22475, 22286, 23251, 13207, 26082, 23190, 23732, 23345, 23725]","[26064, 26062]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"For dataset construction, which step takes the most word to describe than the others. ","[26140, 26007, 3314, 22565, 2781, 3721, 23148, 26021, 12705, 12578]","[26144, 26145, 26146, 26147, 26148, 26149, 26150, 26151, 26138, 26141, 26142, 26143]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"According to author's definition on conscious incompetence, when can a sentence map to both [NA] and a list of sub-graph knowledge?","[26003, 26026, 26038, 26047, 26045, 26048, 26049, 25996, 26046, 26074]","[26002, 26003, 26004]",1,0.33
0.5,2024.ug.eprospectus,Brochure,Student from which major has a picture of playing badminton in this brochure?,"[20095, 8180, 24591, 26244, 26252, 24592, 7730, 12598, 23506, 22161]",[20097],Not Found,0.0
0.5,2024.ug.eprospectus,Brochure,Which colleges/schools/institutes from NTU use year 3 students as cover page student model?,"[20106, 19947, 19601, 18449, 2140, 19838, 20130, 19882, 20101, 20134]","[19696, 19964, 19967]",Not Found,0.0
0.5,2303.08559v2,Academic paper,What is the performance of filter-then-rerank methods (w.o. ensemble) on 50-shot TACREV dataset?,"[22530, 22532, 22309, 22451, 22341, 22488, 22324, 22336, 22490, 22278]","[22336, 22323]",8,0.5
0.5,2303.08559v2,Academic paper,Repeat the instructions corresponding to the settings shown in red box of Figure 3 (left).,"[1103, 24390, 25011, 25855, 25158, 13073, 13394, 23930, 25438, 25781]","[22464, 22465, 22466, 22467, 22277, 22286, 22463]",Not Found,0.0
0.5,2303.08559v2,Academic paper,Tell me the prompt template used for label 'Contact.Meet' in filter-then-rerank method of this work. ,"[22532, 22260, 22530, 22303, 22515, 22344, 22320, 22323, 22328, 22254]","[22548, 22549]",Not Found,0.0
0.5,2303.08559v2,Academic paper,"If I drop the green module shown in Figure 6,  what is the absolute percentage drop on 100-shot TACREV setting?","[26077, 22337, 12939, 22309, 1075, 2705, 1083, 3360, 22324, 22822]","[22323, 22341]",Not Found,0.0
0.5,05-03-18-political-release,Research report / Introduction,"Among the adults conducted the survey on April 25 - May 1 2018, how many adults rated Trump's government ethical standards as poor? ","[122, 84, 891, 116, 136, 10811, 945, 10809, 1012, 783]","[30, 15]",Not Found,0.0
0.5,05-03-18-political-release,Research report / Introduction,"According to the survey on April 25 - May 1, 2018, what are the domains with the highest percentage that adults are very confident and not at all confident of Donald Trump's govenment? Please write the answer in the list format and with alphabetical order, e.g., [""A"",""B""]","[568, 563, 35, 430, 530, 570, 734, 34, 571, 41]","[41, 19]",10,0.5
0.5,05-03-18-political-release,Research report / Introduction,"What percentage of the party that holds the highest total percentage of good policy ideas and high ethical standards reported that they followed the news about congressional elections in their state very closely in the survey of U.S. adults conducted from April 25 to May 1, 2018?","[97, 136, 111, 1012, 118, 894, 15, 783, 26, 112]","[97, 105, 106, 107, 112, 113, 114, 115, 94]",1,0.22
0.5,05-03-18-political-release,Research report / Introduction,"What is the percentage of registered voters who support or lean toward the candidate from the party with the higher total percentage of good policy ideas and high ethical standards and closely follow congressional elections in their district in the survey of U.S. adults conducted April 25 - May 1, 2018?","[126, 638, 121, 456, 454, 724, 894, 641, 630, 738]","[97, 118, 124, 125, 126]",1,0.2
0.5,05-03-18-political-release,Research report / Introduction,"What is the percentage gap between the youngest age group and the oldest age group that strongly disapproves of the way the president, who started his job in 2018, was handling his job in the survey of U.S. adults conducted April 25-May 1, 2018? Please write the answer in float format","[898, 851, 126, 876, 118, 944, 826, 91, 844, 879]","[89, 61, 70]",Not Found,0.0
0.5,05-03-18-political-release,Research report / Introduction,"How many Demoncratic people in the survey of U.S. adults conducted April 25- May 1, 2019 said neither the Republican Party nor the Democratic Party  has ‘high ethical standards'?","[27, 104, 93, 107, 656, 894, 805, 621, 101, 97]","[105, 106, 139, 140, 138, 141, 94]",Not Found,0.0
0.5,0b85477387a9d0cc33fca0f4becaa0e5,Administration/Industry file,Who is the commanding officer in the first figure on the second page?,"[25061, 23909, 23300, 25059, 23458, 23996, 23998, 25165, 24990, 25062]",[165],Not Found,0.0
0.5,0b85477387a9d0cc33fca0f4becaa0e5,Administration/Industry file,"Who Visited the U.S. Naval Medical Research centre on November 29, 2012 in the document?","[219, 154, 295, 236, 304, 335, 346, 352, 353, 296]",[158],Not Found,0.0
0.5,0b85477387a9d0cc33fca0f4becaa0e5,Administration/Industry file,"With whom did the NAMRU-3 team visit Monrovia, Liberia, in November 2012? Enumerate their names within a list.","[239, 185, 240, 248, 178, 180, 236, 184, 245, 177]",[242],Not Found,0.0
0.5,0b85477387a9d0cc33fca0f4becaa0e5,Administration/Industry file,"Among all the pictures, how many of them contain only one person?","[25152, 25368, 25357, 25359, 25366, 23299, 20128, 25350, 24938, 25057]","[162, 166, 198, 328, 345, 189, 191]",Not Found,0.0
0.5,0b85477387a9d0cc33fca0f4becaa0e5,Administration/Industry file,"Among all the pictures, in which page the picture contains the most number of people? Give me the page no. as an integer.","[23300, 23299, 335, 25359, 24353, 24972, 24970, 25234, 23298, 24362]","[266, 250]",Not Found,0.0
0.5,2310.07609v1,Academic paper,How many numbers with blue color are mentioned in the example figure of question-guidue reasoning?,"[26267, 26271, 26314, 13324, 13056, 12891, 12909, 26311, 12906, 26270]",[26266],Not Found,0.0
0.5,2310.07609v1,Academic paper,"In the proposed system, how many modules are implemented with Large Language Models backbone?","[26271, 22335, 22864, 3960, 26320, 26291, 26278, 22867, 2703, 12920]",[26274],Not Found,0.0
0.5,2310.07609v1,Academic paper,"In the figure that locates at the top of page 5, what is the final step? Please write down the answer in string format.","[13055, 12909, 23940, 24575, 23351, 3309, 12922, 24567, 26314, 24873]",[26303],Not Found,0.0
0.5,2310.07609v1,Academic paper,What is the color of the model rectangle in the figure of page 4 that appears both in QA model and Reasone moduler in the paper?,"[26306, 23427, 23036, 26271, 26305, 26279, 26278, 1124, 12887, 13208]","[26293, 26279]",6,0.5
0.5,2310.07609v1,Academic paper,How many prompts instruction examples are listed in the main body of the paper? Please writhe down the answer in float format.,"[26172, 13312, 23470, 22275, 23251, 26174, 13376, 13319, 13061, 23381]","[26283, 26287, 26289, 26291, 26301]",Not Found,0.0
0.5,2303.05039v2,Academic paper,How many items in total of Amazon related datasets in the paper? Please write the answer in int format. ,"[2661, 2794, 2701, 2655, 2671, 2981, 22178, 22188, 23246, 2781]",[22189],Not Found,0.0
0.5,2303.05039v2,Academic paper,What is the average number of words per user used for the experiments in the dataset from which a data sample of a user's Receptiviti score is shown? Please write the answer in float format.,"[22182, 22205, 22153, 22183, 22235, 26073, 3951, 22152, 26163, 23427]",[22189],Not Found,0.0
0.5,2303.05039v2,Academic paper,What is the color of the personality vector in the soft-labled  personality embedding matrix that with the highest Receptiviti score for User A2GBIFL43U1LKJ?,"[22184, 22180, 3219, 13962, 11091, 18010, 4926, 19583, 24891, 22896]","[22184, 22170, 22197]",1,0.33
0.5,2303.05039v2,Academic paper,"What are the personality scores of the data sample with extreme personality cases, in which the personality vector color is blue in the overall model structure? Please write down the answer in list format with ascending order, e.g., [""1"",""2""]","[22153, 22184, 22214, 22230, 22209, 22203, 22173, 22220, 22154, 22221]","[22209, 22197]",5,0.5
0.5,2303.05039v2,Academic paper,What is the evaluation metric that has highest number for the method located at the bottom of the model structure figure across the three datasets? Please write down the answer with string format.,"[3035, 22059, 23580, 22280, 22062, 22277, 22341, 22229, 2716, 22451]","[22210, 22229]",8,0.5
0.5,2305.13186v3,Academic paper,"How many green and grey rectangles in the first figure of the paper? Please list the numbers in the list format by descending order. e.g., [""2"",""1""]","[23990, 23910, 25051, 24000, 378, 25065, 23943, 25045, 25059, 23912]",[22561],Not Found,0.0
0.5,2305.13186v3,Academic paper,How many reasoning steps are involved in the figure 1 in the paper? ,"[22590, 12908, 13056, 22585, 22587, 12909, 12907, 12913, 26314, 22583]",[22561],Not Found,0.0
0.5,2305.13186v3,Academic paper,How many more claims does the Wiki Table datasets have comparing to scientific articles datasets? Please writeh the answer in int format. ,"[23246, 22579, 23401, 22532, 2661, 2655, 13310, 2701, 2794, 22626]","[22579, 22571]",2,0.5
0.5,2305.13186v3,Academic paper,How many USD dollars will the author spend if the annotators finish annotating all of claims of the authors' proposed dataset? Please write the answer in float format.,"[22581, 22671, 26167, 3820, 3834, 22608, 2797, 3306, 22097, 3293]","[22579, 22571, 22580]",Not Found,0.0
0.5,2305.13186v3,Academic paper,How many claims are with the highest percentage of reasoning steps  in the author's proposed dataset?,"[22587, 22590, 12955, 22561, 13577, 22622, 26311, 12939, 22624, 26310]","[22571, 22578, 22579, 22585, 22586, 22587, 22588, 22589]",1,0.12
0.5,2309.17421v2,Academic paper,"In Figure 113, what's the name of the music app shown in the computer screen?","[4672, 4118, 5148, 25681, 4778, 25767, 25680, 4399, 4460, 25714]",[25777],Not Found,0.0
0.5,2309.17421v2,Academic paper,"In Figure 111, what's the price of the keyboard shown in the screenshot?","[6964, 25758, 25678, 25689, 25700, 25733, 25722, 25744, 25711, 25755]","[25747, 25758]",2,0.5
0.5,2309.17421v2,Academic paper,"In Figure 107, what's the battery percentage shown in the screenshot?","[25670, 25767, 25736, 25703, 4693, 13314, 16062, 24911, 23381, 9656]","[25714, 25703]",4,0.5
0.5,2309.17421v2,Academic paper,"In Figure 89, what is the brand name of the coffee machine in the picture?","[25483, 25466, 25475, 25482, 25472, 25474, 25477, 25480, 25484, 25481]","[25481, 25473]",10,0.5
0.5,2005.12872v3,Academic paper,"According to the DETR PyTorch inference code, what is the output dimension of the linear_class layer?","[1175, 1153, 1178, 23062, 3806, 1139, 3693, 22091, 1110, 3503]","[1176, 1177, 1175]",1,0.33
0.5,2005.12872v3,Academic paper,What's the AP50 value of DETR with L1 loss and without GIoU loss on the COCO validation set?,"[1160, 1093, 22441, 1071, 3648, 1117, 1161, 1110, 1059, 1098]",[1097],Not Found,0.0
0.5,2005.12872v3,Academic paper,How many multi-head self-attention layers does DETR's default structure have?,"[1153, 1152, 1064, 1066, 1086, 1107, 1110, 1085, 1065, 1080]","[1153, 1082]",1,0.5
0.5,12-15-15-ISIS-and-terrorism-release-final,Research report / Introduction,"In 2015, how many percentage of surveyed adults, Republicans, and Democrats believed that the goverment was doing very/fairly well in reducing the threat of terrorism? Please write the answer in list format, e.g., [""3"",""2""]","[877, 868, 879, 876, 873, 869, 875, 783, 872, 959]","[867, 868, 869, 870, 871, 872, 873, 787]",2,0.5
0.5,12-15-15-ISIS-and-terrorism-release-final,Research report / Introduction,How many bar charts are in the report?Please write the answer in float format.,"[19213, 20355, 20176, 4964, 25278, 9660, 14678, 11844, 9741, 13973]",[802],Not Found,0.0
0.5,12-15-15-ISIS-and-terrorism-release-final,Research report / Introduction,"although few says that current military effort in Iraq and Syria is going well,  what are the more people's attitude in still believe that the U.S. and its allies in the ISIS flight in the end in 2015?","[917, 934, 958, 930, 916, 948, 929, 927, 920, 947]",[935],Not Found,0.0
0.5,2023.findings-emnlp.248,Academic paper,"For the dataset that uses Prover9 as the symbolic solver, how many examples in this dataset are used for evaluation?","[2791, 23823, 22624, 13201, 23445, 13312, 13206, 23822, 2811, 2654]","[13184, 13188, 13189, 13199, 13200, 13201, 13202, 13203, 13204, 13205]",4,0.1
0.5,2023.findings-emnlp.248,Academic paper,"For all the examples given in Figure 5 and Figure 6, how many of them Logic-LM predicted the correct answer?","[24406, 13394, 13232, 13231, 25438, 23956, 24483, 12950, 2896, 3727]","[13386, 13387, 13228, 13389, 13388, 13390, 13391, 13392, 13393, 13394]",2,0.1
0.5,2023.findings-emnlp.248,Academic paper,"When using GPT-4 as the base language model, how many datasets does Logic-LM (without self-refinement) outperform the two baseline models in? ","[13152, 13239, 25980, 13223, 23862, 22459, 22336, 25989, 23826, 25999]",[13208],Not Found,0.0
0.5,2023.findings-emnlp.248,Academic paper,"In this paper, what symbolic solver is used to implement the logic programming module shown in Figure 1?","[13235, 13175, 13157, 13184, 13188, 13152, 13229, 13238, 13169, 13210]","[13184, 13155]",4,0.5
0.5,2023.findings-emnlp.248,Academic paper,Which dataset used in this paper was proposed in 2022 and all of its logical reasoning problems are multiple-choice questions with 5 options?,"[13174, 13207, 13205, 13186, 13206, 22303, 13203, 13178, 3721, 13204]","[13203, 13204, 13205, 13304, 13310]",3,0.6
0.5,2023.acl-long.386,Academic paper,"What are the program execution function names with blue background in our proposed model in the first figure in the paper?  Please write down the answer in a list format with ascending alphabetical order, e.g., [""a"",""b""]","[13106, 13104, 13080, 13088, 13084, 13082, 12915, 13097, 13126, 13076]",[12887],Not Found,0.0
0.5,2023.acl-long.386,Academic paper,How many prompts examples are shown in the paper's main body?,"[13312, 23961, 22275, 26174, 13311, 23772, 26172, 25443, 22265, 23251]","[12921, 12917, 12919]",Not Found,0.0
0.5,2023.acl-long.386,Academic paper,How many complete in-context examples are shown in the figure at the top of page 6985? Please write down the answer with integer format.,"[24976, 23470, 434, 20916, 25386, 6307, 25581, 24504, 698, 10055]",[12925],Not Found,0.0
0.5,2023.acl-long.386,Academic paper,Which type of semantic errors has the lowest total percentages in HOVER dataset?,"[13072, 12955, 12953, 12950, 22622, 3362, 12952, 23749, 22624, 23750]","[12948, 12958]",Not Found,0.0
0.5,2023.acl-long.386,Academic paper,What is the performance of the InstructGPT model with Self-Ask in the closed-book setting on the dataset with the highest ProgramFC retrieval recall at 10? Please write down the answer in float format with 1 decimal.,"[12944, 12948, 12938, 12943, 12958, 12940, 12939, 12936, 12964, 26310]","[12944, 12948, 12933, 12958]",1,0.75
0.5,2023.acl-long.386,Academic paper,"Please list the F1 scores for ProgramFC on different datasets with gold evidence in relation to Flan-T5-small, in descending order, with one decimal place. For example: [""3.0"", ""2.0""].","[12943, 26311, 3360, 3467, 3059, 22277, 22278, 3074, 22280, 22279]","[12932, 12943]",1,0.5
0.5,11-21-16-Updated-Post-Election-Release,Research report / Introduction,What is the highest point of % of voters who say there was more mudslinging than in past elections?,"[460, 695, 694, 458, 697, 700, 702, 696, 701, 699]","[460, 452]",1,0.5
0.5,11-21-16-Updated-Post-Election-Release,Research report / Introduction,How many line plots are there in the report?,"[23717, 22279, 49, 22309, 3656, 3655, 22277, 24019, 23575, 12943]","[705, 706, 452, 422, 460, 687, 688, 694, 698]",Not Found,0.0
0.5,11-21-16-Updated-Post-Election-Release,Research report / Introduction,Who has a higher median campaign grade? Trump or Clinton?,"[648, 665, 654, 667, 635, 650, 456, 634, 653, 659]","[650, 635, 638]",5,0.67
0.5,11-21-16-Updated-Post-Election-Release,Research report / Introduction,How many charts are related to mudslinging?,"[460, 694, 695, 698, 702, 699, 697, 693, 700, 701]","[698, 460, 452, 694]",1,0.75
0.5,11-21-16-Updated-Post-Election-Release,Research report / Introduction,"How many % of voters reactions are ""uneasy"" and ""excited"" about Trump's victory?","[466, 467, 468, 469, 497, 507, 501, 463, 465, 499]","[472, 467]",2,0.5
0.5,2306.05425v1,Academic paper,What task is on the top of the planning branch of the tree?,"[19822, 2971, 10585, 2973, 23156, 23309, 23315, 19821, 6981, 1107]",[23121],Not Found,0.0
0.5,2306.05425v1,Academic paper,How many bar plots (including subplots) are in this paper?,"[23715, 22111, 935, 746, 23736, 22124, 14385, 22028, 22122, 670]","[23171, 23156, 23182]",Not Found,0.0
