lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Where was Gestalt psychology concieved?,"[372, 375, 370, 385, 371, 376, 397, 394, 387, 382]",[372],1,1.0
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,According to the chart on page 14 how much time was spent with family and friends in 2010?,"[405, 406, 361, 1991, 13515, 362, 2066, 14052, 12691, 23716]","[404, 405]",1,0.5
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,What range does red color represents in approximate distance from the Mississippi River in the chart that tracks the West NIle Virus in Europe?,"[393, 391, 18519, 24915, 25173, 25158, 18309, 13651, 20098, 24904]",[393],1,1.0
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,How does this document define the law of good gestalt?,"[397, 395, 400, 399, 396, 398, 401, 375, 372, 391]",[396],5,1.0
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Which category has the most increase from 2005 to 2010 for time spent on weedends?,"[21653, 20985, 21682, 22549, 21401, 20569, 1195, 1193, 1196, 5002]","[404, 405]",Not Found,0.0
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Which continent has the most number of registered participant for advanced science course in CTBTO?,"[404, 401, 2980, 22022, 22032, 3035, 3160, 2013, 405, 16185]","[401, 404]",1,1.0
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Which shapes does the slide use to illustrate the closure aspect of Gestalt Principle of Visual Perception?,"[387, 390, 381, 391, 376, 386, 378, 380, 385, 383]",[387],1,1.0
0.5,2310.05634v2,Academic paper,"In figure 1, which relation arrows do not point to specific leaf nodes?","[24450, 25049, 19956, 19957, 19960, 26038, 24406, 3503, 24990, 24809]",[25992],Not Found,0.0
0.5,2310.05634v2,Academic paper,"In figure 5, what is the color of the line that has no intersection with any other line?","[24019, 24097, 13223, 23991, 1170, 24121, 24864, 24119, 24113, 24091]",[26078],Not Found,0.0
0.5,2310.05634v2,Academic paper,"How many tables include ""F1"" as a metric?","[2117, 22600, 3470, 22613, 3885, 22568, 22630, 341, 24484, 22579]","[26057, 26068, 26062, 26084]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"From the paper, which temperature gives ChatGPT the highest alignment score?","[26248, 22475, 22286, 23251, 13207, 26082, 23190, 23732, 23345, 23725]","[26064, 26062]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"For dataset construction, which step takes the most word to describe than the others. ","[26140, 26007, 3314, 22565, 2781, 3721, 23148, 26021, 12705, 12578]","[26144, 26145, 26146, 26147, 26148, 26149, 26150, 26151, 26138, 26141, 26142, 26143]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"According to author's definition on conscious incompetence, when can a sentence map to both [NA] and a list of sub-graph knowledge?","[26003, 26026, 26038, 26047, 26045, 26048, 26049, 25996, 26046, 26074]","[26002, 26003, 26004]",1,0.33
0.5,2024.ug.eprospectus,Brochure,Which groups of applicants have the lastest end of application period according to this brochure?,"[20153, 20906, 20173, 14329, 15219, 15218, 14454, 14268, 2207, 15063]",[20153],1,1.0
0.5,2024.ug.eprospectus,Brochure,"Among the top 10 reasons why NTU smart campus is for you, which is the reason that does not include any person in the corresponding figure?","[19602, 19587, 20056, 19601, 19604, 20118, 20055, 19634, 20039, 19951]",[19602],1,1.0
0.5,2024.ug.eprospectus,Brochure,Student from which major has a picture of playing badminton in this brochure?,"[20095, 8180, 24591, 26244, 26252, 24592, 7730, 12598, 23506, 22161]",[20097],Not Found,0.0
0.5,2024.ug.eprospectus,Brochure,Which colleges/schools/institutes from NTU use year 3 students as cover page student model?,"[20106, 19947, 19601, 18449, 2140, 19838, 20130, 19882, 20101, 20134]","[19696, 19964, 19967]",Not Found,0.0
