lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,NYU_graduate,Brochure,How many steps are needed to apply for housing and themed engagement communities?,"[5157, 16068, 15563, 16337, 22211, 5106, 14109, 13130, 15338, 1632]","[21728, 21729, 21730, 21731, 21727]",Not Found,0.0
0.5,NYU_graduate,Brochure,Where is Office of Residential Life & Housing Services?,"[21734, 21635, 21732, 21703, 21705, 21714, 21595, 21707, 21593, 21600]","[21733, 21734]",1,0.5
0.5,NYU_graduate,Brochure,How many pictures are shown in Pages 25-28?,"[22526, 22217, 22038, 22037, 22295, 14983, 17633, 17631, 7798, 21820]","[21732, 21733, 21734, 21722, 21725, 21726]",Not Found,0.0
0.5,NYU_graduate,Brochure,List the STAFF MEMBERS IN the RESIDENCE HALL,"[21701, 11649, 20650, 13826, 17990, 21707, 17991, 1213, 21724, 21719]","[21701, 21702, 21703, 21704, 21705, 21706, 21707, 21708]",1,0.25
0.5,NYU_graduate,Brochure,How many people can be found in the figures in Pages 18-19?,"[16775, 2908, 2906, 2904, 20339, 3065, 21645, 9959, 21673, 22427]","[21688, 21682, 21687]",Not Found,0.0
0.5,NYU_graduate,Brochure,How large student community center can be which residents have access? Give me a number of its square.,"[21686, 21610, 21668, 21628, 21697, 21643, 21724, 21652, 21674, 21953]",[21683],Not Found,0.0
0.5,NYSE_UNH_2020,Financial report,What was the change in cash and cash equivalents for the year 2018?,"[14917, 14919, 14918, 14920, 21044, 21043, 14610, 14611, 12846, 6876]",[18086],Not Found,0.0
0.5,NYSE_UNH_2020,Financial report,What was the total revenue for UnitedHealth Group in 2019?,"[18049, 18008, 18009, 18007, 18183, 18188, 17811, 17832, 18483, 18475]",[18393],Not Found,0.0
0.5,NYSE_UNH_2020,Financial report,What is the main purpose of the last page in the document?,"[15312, 15542, 15860, 16135, 16531, 15323, 16405, 16519, 15530, 15982]","[18489, 18490, 18491, 18492, 18493, 18494, 18495]",Not Found,0.0
0.5,NYSE_PG_2022,Financial report,Did the service cost component for Pension Benefits increase or decrease from 2021 to 2022?,"[21398, 21162, 21158, 21160, 21161, 21157, 21159, 21156, 9665, 21407]",[9656],Not Found,0.0
0.5,NYSE_PG_2022,Financial report,Which segment of P&G experienced the highest net sales growth in 2022 as compared to 2021?,"[8963, 9849, 9312, 9523, 9279, 9026, 9229, 8962, 8985, 9473]",[9333],Not Found,0.0
0.5,NYSE_PG_2022,Financial report,What is P&G's largest business segment according to the 2022 net sales data?,"[7049, 7062, 7617, 4484, 7048, 2635, 10877, 1221, 9347, 10886]",[8964],Not Found,0.0
0.5,NYSE_PG_2022,Financial report,Which geographic region contributed the least to the P&G's net sales?,"[1205, 21515, 21520, 20845, 21485, 17695, 10052, 10143, 7800, 8024]",[8965],Not Found,0.0
0.5,NYSE_NVS_2021,Financial report,Which product of the company had the highest percentage increase in total net sales from 2020 to 2021?,"[4048, 7055, 7052, 5194, 5209, 9333, 9117, 5198, 4050, 3298]",[5195],Not Found,0.0
0.5,NYSE_NVS_2021,Financial report,"What is the total amount of non-current financial debt, including the current portion?","[7209, 7211, 5470, 7314, 7315, 4751, 5503, 7281, 7316, 7203]","[5485, 5503]",7,0.5
0.5,NYSE_NVS_2021,Financial report,"Which location has the largest site for the company in square meters, and what is its size?","[5120, 13824, 9212, 5117, 4048, 2740, 20480, 20336, 4485, 3005]",[5121],Not Found,0.0
0.5,NYSE_NVS_2021,Financial report,What was the percentage of the company's operating expenses denominated in Euros for the year 2021?,"[7671, 13879, 13904, 12993, 13878, 13881, 12101, 13905, 13920, 1228]","[5448, 5458]",Not Found,0.0
0.5,NYSE_NVS_2021,Financial report,Does the report include the signature of company leadership?,"[4336, 16540, 16544, 88, 18854, 19247, 806, 808, 18464, 12626]","[7792, 7791]",Not Found,0.0
0.5,NYSE_PEP_2020,Financial report,What is PepsiCo's average operating profit for the three fiscal years from 2018 to 2020?,"[14864, 8451, 17704, 13904, 8484, 14402, 4090, 5962, 17702, 17706]",[8448],Not Found,0.0
0.5,NYSE_PEP_2020,Financial report,What was the company's net revenue for China in 2019?,"[8272, 8484, 8488, 11179, 1878, 10301, 13010, 11180, 1205, 10014]",[8495],Not Found,0.0
0.5,NYSE_PEP_2020,Financial report,How much was the change in retained earnings of the company from 2019 to 2020?,"[6817, 6975, 4477, 6950, 6800, 6911, 2100, 19493, 17335, 3653]","[8457, 8458]",Not Found,0.0
0.5,NYSE_PEP_2020,Financial report,On which page does the CEO's letter to the shareholders begin?,"[4528, 4539, 4525, 4541, 4527, 4536, 4537, 4533, 4529, 4540]",[7861],Not Found,0.0
0.5,NYSE_XOM_2020,Financial report,Did the average production costs for bitumen per barrel change from 2019 to 2020?,"[20686, 20682, 20680, 20662, 20712, 21517, 21508, 20713, 21516, 20676]",[20679],Not Found,0.0
