lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"According to the report, how do 5% of the Latinos see economic upward mobility for their children?","[6637, 6634, 6635, 6632, 6633, 8533, 6636, 6676, 6711, 6677]",[6634],2,1.0
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"According to the report, which one is greater in population in the survey? Foreign born Latinos, or the Latinos interviewed by cellphone?","[10096, 6734, 10110, 10098, 10099, 10101, 7851, 10106, 6093, 9967]","[6724, 6732]",Not Found,0.0
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"From this report, which subgroup among Hispanics has gained most confidence from 2008 to 2015? ","[6684, 6694, 6625, 6661, 6665, 6637, 6689, 6675, 6708, 8054]","[6684, 6694, 6695]",1,0.67
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"Among all 12 references in this report, how many are from its own research center?","[8900, 5966, 5379, 5044, 7866, 6051, 7412, 13782, 9886, 10015]","[6600, 6736, 6737, 6738, 6739, 6740, 6741, 6742, 6743, 6744, 6745]",Not Found,0.0
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"According to this report, among the Hispanics shaped by four current personal financial situation, which situation involves the highest percentage that expects their future financial situation to get a lot worse?","[6710, 6705, 6683, 6708, 6698, 6707, 6627, 8699, 6689, 6647]",[6708],4,1.0
0.5,PH_2016.06.08_Economy-Final,Research report / Introduction,"According to this report, from 2014 to 2015, one group has the most significant drop of percentage of households claiming their income was falling behind cost of living.
Which group is this, and what is the percentage droped?","[7824, 6673, 7816, 6671, 7821, 6675, 7817, 6643, 6674, 8901]",[6673],2,1.0
0.5,earlybird-110722143746-phpapp02_95,Research report / Introduction,How many more millions of dollars was the median exit valuation in the USA compared to Europe at the time of the presentation?,"[3476, 9047, 21340, 21342, 21337, 21394, 8111, 7851, 8332, 6099]","[21282, 21286]",Not Found,0.0
0.5,earlybird-110722143746-phpapp02_95,Research report / Introduction,"Which was greater at the time of the presentation, Europe IPO index value or US IPO index value?","[21296, 21297, 21298, 21299, 21301, 21281, 21300, 6114, 6034, 6557]","[21296, 21298]",1,1.0
0.5,earlybird-110722143746-phpapp02_95,Research report / Introduction,How many human quotes are provided with source in this document?,"[15916, 11427, 11541, 1747, 11355, 8949, 334, 13957, 18425, 1792]","[21380, 21381, 21318, 21321, 21322, 21324, 21388, 21389, 21306, 21307]",Not Found,0.0
0.5,earlybird-110722143746-phpapp02_95,Research report / Introduction,Which two magazines' opinions are selected to illustrate the situation of German venture capital?,"[21358, 21382, 21311, 21282, 21312, 21281, 11355, 21321, 21289, 21318]","[21364, 21372]",Not Found,0.0
0.5,earlybird-110722143746-phpapp02_95,Research report / Introduction,"On the chart showing average exit cap, there is one point that US, Europe, and China have the same average exit cap value. What is this value in USD million? Give me an integer","[21340, 6074, 16252, 21335, 6463, 21312, 7606, 20793, 4008, 4006]",[21340],1,1.0
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,"According to the chart ""Levels of Analytics"", what are the four business analystics activities?","[19395, 21453, 19393, 7349, 19394, 19517, 17674, 21533, 19397, 9449]","[19393, 19395]",1,1.0
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,"According to the flowchart ""Analytics Value Chain"", what comes between Reporting and Action?","[19397, 19399, 19398, 19400, 19396, 1955, 19401, 20164, 20273, 20325]",[19397],1,1.0
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,"What are the examples the slides show ""what does not make you data-driven""","[19388, 19390, 19391, 19404, 19497, 19380, 19524, 19507, 19504, 19389]","[19402, 19404, 19388, 19390, 19391]",1,0.8
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,Which Youtube does the slides use to show the consequce of blindly following data?,"[7459, 19503, 12244, 14810, 11625, 19498, 7612, 10580, 15943, 21536]","[19498, 19500, 19501]",6,0.33
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,How many hand drawn cartoons are included in the slides to illustrate the idea?,"[19410, 16753, 4733, 15185, 18537, 18535, 15184, 17373, 17642, 17372]","[19429, 19430, 19469, 19501, 19503]",Not Found,0.0
0.5,ddoseattle-150627210357-lva1-app6891_95,Tutorial/Workshop,"In the cartoon in page 25, what does the hippo represent?","[19430, 19053, 15390, 5729, 18459, 11451, 17488, 10485, 15591, 197]",[19431],Not Found,0.0
