lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,NYU_graduate,Brochure,How many steps are needed to apply for housing and themed engagement communities?,"[21730, 21601, 21605, 21732, 21734, 21727, 21728, 21731, 21729, 21733]","[21728, 21729, 21730, 21731, 21727]",1,1.0
0.5,NYU_graduate,Brochure,Where is Office of Residential Life & Housing Services?,"[21734, 6673, 21732, 21645, 21665, 6682, 6372, 21701, 21705, 6678]","[21733, 21734]",1,0.5
0.5,NYU_graduate,Brochure,How many pictures are shown in Pages 25-28?,"[5718, 20105, 22525, 8197, 21726, 8201, 8198, 10280, 22527, 22528]","[21732, 21733, 21734, 21722, 21725, 21726]",5,0.17
0.5,NYU_graduate,Brochure,List the STAFF MEMBERS IN the RESIDENCE HALL,"[21701, 21697, 21694, 21707, 21696, 21695, 21703, 21724, 21705, 21693]","[21701, 21702, 21703, 21704, 21705, 21706, 21707, 21708]",1,0.5
0.5,NYU_graduate,Brochure,How many people can be found in the figures in Pages 18-19?,"[11193, 22231, 18008, 7183, 7181, 21434, 22207, 741, 6011, 21721]","[21688, 21682, 21687]",Not Found,0.0
0.5,NYU_graduate,Brochure,How large student community center can be which residents have access? Give me a number of its square.,"[21686, 21652, 21654, 21643, 21675, 21619, 21674, 21610, 21718, 21660]",[21683],Not Found,0.0
0.5,NYSE_UNH_2020,Financial report,Did cash provided by operating activities increase from 2019 to 2020?,"[21054, 20941, 18086, 8378, 11923, 8364, 269, 11807, 14457, 21056]",[18086],3,1.0
0.5,NYSE_UNH_2020,Financial report,What was the change in cash and cash equivalents for the year 2018?,"[11923, 13956, 18472, 3646, 6801, 19485, 12829, 4100, 5470, 18190]",[18086],Not Found,0.0
0.5,NYSE_UNH_2020,Financial report,By how much did the earnings from operations for UnitedHealthcare grow from 2018 to 2020?,"[18069, 18393, 18063, 5634, 18392, 7395, 17774, 18049, 17810, 18062]",[18393],2,1.0
0.5,NYSE_UNH_2020,Financial report,What was the total revenue for UnitedHealth Group in 2019?,"[18062, 18392, 18007, 18183, 17774, 18049, 18009, 18008, 17928, 18425]",[18393],Not Found,0.0
0.5,NYSE_UNH_2020,Financial report,What was the amount of medical costs payable of UnitedHealth Group at the end of 2020?,"[18049, 18183, 17828, 18392, 17832, 18190, 17838, 17820, 17834, 18181]",[18181],10,1.0
0.5,NYSE_UNH_2020,Financial report,What is the main purpose of the last page in the document?,"[18353, 18350, 14597, 15378, 699, 17333, 18467, 21342, 10855, 14359]","[18489, 18490, 18491, 18492, 18493, 18494, 18495]",Not Found,0.0
