lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,Independents-Report,Research report / Introduction,What's the percentage of people who are democrats and voted in the last election compared to the entire population in 2018?,"[17532, 17534, 17535, 17533, 16819, 19390, 17538, 3721, 17539, 17536]","[17518, 17522, 17523, 17524, 17527, 17534, 17535]",2,0.29
0.5,Independents-Report,Research report / Introduction,"According to this report, which group is greater in population in 2018? Republican who are hispanic, or no leans who are male?","[17615, 17612, 17537, 17555, 17536, 17584, 17524, 17569, 17573, 17605]","[17522, 17518, 17615]",1,0.33
0.5,Independents-Report,Research report / Introduction,"According to this report, how many charts provide no opinions only from the ""no lean"" group?","[17562, 7064, 11947, 10529, 17566, 17565, 17563, 17564, 17561, 10576]","[17555, 17573]",Not Found,0.0
0.5,GPL-Graduate-Studies-Professional-Learning-Brochure-Jul-2021,Brochure,How many people with scarf are there in  Page 5?,"[12907, 6884, 12859, 11584, 13591, 10187, 11436, 13080, 10278, 11874]",[12845],Not Found,0.0
0.5,GPL-Graduate-Studies-Professional-Learning-Brochure-Jul-2021,Brochure,Which program has the longest time period among all the leadership programmes?,"[50, 10785, 10787, 12686, 11776, 15975, 17945, 378, 54, 19185]",[12947],Not Found,0.0
0.5,GPL-Graduate-Studies-Professional-Learning-Brochure-Jul-2021,Brochure,Which programme by coursework with disciplinary content allows to have the maximum of 3 years full-time duration? Write down the answer with alphabetical order. ,"[12866, 12947, 12864, 13145, 17434, 264, 5116, 9767, 17387, 17386]","[12864, 12859]",3,0.5
0.5,DSA-278777,Guidebook,How many parts has the prefix N in the packages?,"[7959, 7961, 8002, 8000, 7975, 7970, 16017, 17665, 15640, 7949]",[7959],1,1.0
0.5,DSA-278777,Guidebook,Which port has the alternative function that capture Trigger from port 0-3?,"[7972, 140, 7979, 7977, 7956, 7955, 7973, 142, 8031, 2720]",[7972],1,1.0
0.5,DSA-278777,Guidebook,What is the minimum voltage of the symbol at the bottom left corner in the Figure of EPROM programming and verification waveforms? Write down the answer in float format.,"[8065, 8078, 8068, 8038, 8048, 8103, 8101, 8102, 8043, 8042]","[8064, 8065]",1,0.5
0.5,DSA-278777,Guidebook,"How many waveform figures are contained in the guidebook for 272318? List the page numbers in the list format in ascending order,e.g., [""1"",""2""]","[6430, 8049, 8106, 12325, 10892, 12818, 103, 8107, 5972, 13148]","[8032, 8065, 8070, 8038, 8103, 8041, 8043, 8078]",Not Found,0.0
0.5,DSA-278777,Guidebook,How many connection graphs are contained in the guidebook?,"[6380, 6382, 6379, 38, 6377, 6436, 6381, 6419, 8031, 6376]","[7961, 7988]",Not Found,0.0
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,What is the central component of the figure at page 17?,"[15788, 15789, 18717, 11335, 19089, 15792, 15790, 14354, 15791, 926]",[927],Not Found,0.0
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,How many ECS components wiil the AliCloud DNS go through in the figure at Page 18?,"[932, 930, 951, 926, 955, 928, 956, 954, 8054, 942]","[928, 932]",1,1.0
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,How many cameras outside the China area does the figure at Page 19 has? Write the answer in float format.,"[6838, 971, 15487, 12649, 6839, 6466, 10325, 12392, 11703, 4207]",[942],Not Found,0.0
