lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,Macbook_air,Guidebook,"How many figures are shown in this guidebook to teach users ""Two-finger scrolling"" tips?","[5177, 5176, 5502, 5182, 5174, 5180, 5505, 18857, 19058, 5181]","[5176, 5177]",1,1.0
0.5,Macbook_air,Guidebook,"According to this guideline, enumerate all jacks or ports located at the right side of MacBook Air.","[5163, 5506, 5366, 5162, 5495, 5201, 5164, 5031, 5167, 5166]","[5161, 5163]",1,0.5
0.5,Macbook_air,Guidebook,"List all the countries/regions mentioned in the ""Regulatory Compliance Information"" part of this guidebook (except the U.S.). Your answer should be in English.","[12653, 16219, 4175, 9279, 11831, 7569, 11657, 1630, 13683, 3599]","[5444, 5417, 5419, 5422, 5424, 5393, 5456, 5431, 5433]",Not Found,0.0
0.5,Macbook_air,Guidebook,"I'm a Macbook Air user in Mexico.  According to this guidebook, which number shall I call for seeking Applecare service and support?","[5335, 5336, 5225, 5327, 5200, 5505, 5329, 5334, 5239, 5338]",[5338],10,1.0
0.5,Macbook_air,Guidebook,"According to this guideline, what is on the left side of the MacBook Air's camera?","[5353, 5083, 5348, 5163, 5160, 5164, 5200, 5222, 5159, 5327]",[5141],Not Found,0.0
0.5,NUS-FASS-Graduate-Guidebook-2021-small,Guidebook,List all the Chinese universities that have a student exchange programme with FASS. Write the answer in alphabetical order.,"[18878, 18877, 18857, 18983, 18901, 19027, 18876, 18860, 18871, 18903]",[18894],Not Found,0.0
0.5,NUS-FASS-Graduate-Guidebook-2021-small,Guidebook,"For all the people that appear in the guidebook to speak for their department or programmes, how many of them are assistant professors? ","[19182, 18962, 18961, 19331, 19270, 18881, 18874, 18993, 19359, 18879]",[19345],Not Found,0.0
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,"From 2022 graduate employment survey,  graduates with which degree have the highest average monthly salary?","[18629, 18934, 18628, 19093, 19292, 18633, 18630, 18627, 19157, 18823]","[18632, 18629, 18631]",1,0.33
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,What are the representative courses for majors that need 64 major curriculum units?,"[18677, 18707, 18624, 18828, 18706, 18961, 18669, 18962, 18684, 18703]","[18677, 18700, 18701]",1,0.33
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,How many social media accounts might NUS Business School have?,"[18851, 18854, 18737, 18828, 18666, 18626, 18762, 18849, 18812, 18706]","[18851, 18852, 18853]",1,0.33
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,"In the photo provided by BRYAN VOON,  how many different people are there wearing glasses?","[18833, 19348, 422, 18772, 19555, 18812, 18983, 200, 18730, 18729]",[18833],1,1.0
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,How many weeks do students need to reach work experience milestone and get 8 units?,"[18723, 18720, 18676, 18725, 18786, 18785, 18722, 4154, 18784, 4157]","[18720, 18723, 18767]",1,0.67
0.5,NETFLIX_2015_10K,Financial report,"what is the FY2015 unadjusted EBITDA % margin for Netflix?Answer in percentage term, round to one decimal place.","[18061, 8974, 8977, 3877, 18018, 18003, 3878, 8925, 3894, 8923]","[17529, 17525]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,What is Netflix working capital in FY2015?Answer in thousands.,"[4930, 17527, 17520, 17330, 17607, 17316, 17531, 804, 2389, 17588]",[17322],Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,What is sales to working capital ratio of Neflix in FY 2015?Round your answer to two decimal places.,"[10359, 4152, 13265, 1692, 12577, 3213, 11751, 8041, 2552, 3307]","[17529, 17531, 17525]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,What amount did  personnel-related costs increase for Netfilx in 2015? Answer in millions.,"[17381, 17374, 17376, 17383, 17887, 9081, 8196, 13173, 7405, 13169]","[17373, 17374]",2,0.5
0.5,NETFLIX_2015_10K,Financial report,what is advertsing expense of Neflix in FY 2015? Answer in millions,"[17525, 17177, 17531, 17533, 17529, 17527, 17209, 16895, 17514, 16894]","[17561, 17574]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is advertsing expense to sales ratio of Neflix in FY 2015? Round your answer to three decimal places.,"[3431, 9410, 9408, 13792, 13791, 9277, 11835, 1740, 12501, 12581]","[17561, 17525, 17574]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is research and development expense of Neflix in FY 2015? Answer in thousands.,"[17209, 17514, 17531, 17533, 17177, 16895, 17717, 17527, 17525, 17528]",[17372],Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is sales to stockholder equity ratio  of Neflix in FY 2015? Round your answer to three decimal places.,"[17533, 474, 18259, 9240, 9242, 11610, 16176, 7158, 9259, 16178]","[17529, 17531, 17525]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what method did netflix use to pay the dividend to shareholders in FY2015.,"[17316, 17209, 17494, 17192, 17704, 17720, 17705, 17703, 17706, 17495]",[17585],Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is operating leases occurred in FY 2015 for Netfilx?Answer in million.,"[17529, 17525, 17515, 17533, 17531, 17527, 17514, 17528, 17530, 17524]",[17632],Not Found,0.0
