lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,Macbook_air,Guidebook,"How many figures are shown in this guidebook to teach users ""Two-finger scrolling"" tips?","[5176, 5177, 5502, 5174, 5505, 6065, 5181, 8764, 7242, 7238]","[5176, 5177]",1,1.0
0.5,Macbook_air,Guidebook,"According to this guideline, enumerate all jacks or ports located at the right side of MacBook Air.","[5162, 5365, 5056, 5031, 5163, 5228, 5059, 5184, 5165, 5052]","[5161, 5163]",5,0.5
0.5,Macbook_air,Guidebook,"List all the countries/regions mentioned in the ""Regulatory Compliance Information"" part of this guidebook (except the U.S.). Your answer should be in English.","[20091, 9180, 11441, 51, 16521, 20097, 7011, 14527, 4056, 20099]","[5444, 5417, 5419, 5422, 5424, 5393, 5456, 5431, 5433]",Not Found,0.0
0.5,Macbook_air,Guidebook,"I'm a Macbook Air user in Mexico.  According to this guidebook, which number shall I call for seeking Applecare service and support?","[5505, 5359, 5263, 5209, 5335, 5081, 5091, 5294, 5191, 5465]",[5338],Not Found,0.0
0.5,Macbook_air,Guidebook,"According to this guideline, what is on the left side of the MacBook Air's camera?","[5141, 5200, 5123, 5125, 5127, 5124, 5129, 5365, 5056, 5128]",[5141],1,1.0
0.5,NUS-FASS-Graduate-Guidebook-2021-small,Guidebook,List all the Chinese universities that have a student exchange programme with FASS. Write the answer in alphabetical order.,"[18857, 18860, 19053, 18878, 18855, 18871, 19216, 18901, 18902, 19047]",[18894],Not Found,0.0
0.5,NUS-FASS-Graduate-Guidebook-2021-small,Guidebook,"For all the people that appear in the guidebook to speak for their department or programmes, how many of them are assistant professors? ","[18978, 18879, 18855, 5541, 1059, 19009, 19380, 19005, 18984, 19053]",[19345],Not Found,0.0
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,"From 2022 graduate employment survey,  graduates with which degree have the highest average monthly salary?","[18629, 18879, 19292, 18630, 18627, 18878, 18946, 18631, 18628, 19093]","[18632, 18629, 18631]",1,0.67
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,What are the representative courses for majors that need 64 major curriculum units?,"[18677, 18946, 18961, 18670, 18667, 18624, 19027, 19162, 18683, 14553]","[18677, 18700, 18701]",1,0.33
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,How many social media accounts might NUS Business School have?,"[18851, 18737, 18666, 18854, 18626, 18849, 18758, 18831, 18706, 18762]","[18851, 18852, 18853]",1,0.33
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,"In the photo provided by BRYAN VOON,  how many different people are there wearing glasses?","[18833, 18832, 18829, 18831, 18830, 18730, 19234, 422, 18729, 1938]",[18833],1,1.0
0.5,NUS-Business-School-BBA-Brochure-2024,Brochure,How many weeks do students need to reach work experience milestone and get 8 units?,"[7759, 6332, 18904, 5719, 4146, 18723, 6318, 10005, 646, 6457]","[18720, 18723, 18767]",6,0.33
0.5,NETFLIX_2015_10K,Financial report,"what is the FY2015 unadjusted EBITDA % margin for Netflix?Answer in percentage term, round to one decimal place.","[1144, 474, 1450, 1690, 1448, 1669, 1085, 18018, 2533, 1615]","[17529, 17525]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,What is Netflix working capital in FY2015?Answer in thousands.,"[474, 17329, 2545, 2503, 17700, 2544, 1144, 1434, 4879, 1669]",[17322],Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,What is sales to working capital ratio of Neflix in FY 2015?Round your answer to two decimal places.,"[3873, 3142, 2874, 485, 17529, 7638, 1609, 1476, 12782, 487]","[17529, 17531, 17525]",5,0.33
0.5,NETFLIX_2015_10K,Financial report,What amount did  personnel-related costs increase for Netfilx in 2015? Answer in millions.,"[17700, 6616, 19720, 3866, 8529, 18437, 18363, 17239, 2896, 3873]","[17373, 17374]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is advertsing expense of Neflix in FY 2015? Answer in millions,"[4161, 8613, 17525, 3874, 485, 9127, 3873, 4163, 16411, 3875]","[17561, 17574]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is advertsing expense to sales ratio of Neflix in FY 2015? Round your answer to three decimal places.,"[17850, 8768, 1570, 13278, 1669, 4024, 18470, 17699, 6901, 18341]","[17561, 17525, 17574]",Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is research and development expense of Neflix in FY 2015? Answer in thousands.,"[16091, 13259, 4163, 13168, 4161, 6571, 12473, 17525, 13609, 16275]",[17372],Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is sales to stockholder equity ratio  of Neflix in FY 2015? Round your answer to three decimal places.,"[17533, 20116, 16388, 7591, 485, 7638, 1602, 17529, 3892, 20121]","[17529, 17531, 17525]",8,0.33
0.5,NETFLIX_2015_10K,Financial report,what method did netflix use to pay the dividend to shareholders in FY2015.,"[17525, 17531, 17527, 8529, 17316, 17533, 17699, 245, 17704, 17700]",[17585],Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,what is operating leases occurred in FY 2015 for Netfilx?Answer in million.,"[7585, 7582, 2770, 3886, 3373, 18315, 7360, 17582, 3374, 13558]",[17632],Not Found,0.0
0.5,NETFLIX_2015_10K,Financial report,"what percentage did Global streaming memberships increase from 2014 to 2015?Answer in percentage term, round to one decimal places.","[17329, 17323, 17194, 17192, 8543, 8529, 17538, 17197, 8567, 9304]",[17329],1,1.0
0.5,NETFLIX_2015_10K,Financial report,what profit  did Memberships contribute to in Domestic Streaming Segment in FY2015? Answer in thousands.,"[17197, 17694, 17696, 17687, 17349, 17692, 17447, 17698, 17693, 17695]",[17340],Not Found,0.0
0.5,NIKE_2021_10K,Financial report,what is the FY2021 inventory turnover ratio for Nike?Round your answer to two decimal places.,"[18491, 996, 18490, 4221, 1013, 11659, 2527, 1670, 1016, 355]","[18249, 18254]",Not Found,0.0
0.5,NIKE_2021_10K,Financial report,What is receive turnover in FY2021 for Nike? Round your answer to two decimal places.,"[17992, 18038, 18470, 18491, 17835, 18069, 996, 17781, 18558, 18037]","[18249, 18254]",Not Found,0.0
0.5,NIKE_2021_10K,Financial report,What is payables  turnover in FY2021 for Nike? Round your answer to two decimal places.,"[18491, 18470, 18038, 996, 17835, 18023, 17992, 18471, 18558, 18018]","[18249, 18254]",Not Found,0.0
0.5,NIKE_2021_10K,Financial report,What is  cash_ratio in FY2021 for Nike? Round your answer to two decimal places.,"[2929, 17991, 4260, 17992, 18075, 16123, 18037, 3343, 18032, 18071]",[18254],Not Found,0.0
0.5,NIKE_2021_10K,Financial report,What is  cash conversion cycle in FY2021 for Nike? Round your answer to two decimal places.,"[497, 18032, 501, 18075, 18069, 3149, 18071, 499, 18037, 18013]","[18249, 18254]",Not Found,0.0
0.5,NIKE_2021_10K,Financial report,What is current ratio in FY2021 for Nike?  Round your answer to two decimal places.,"[18013, 18038, 17992, 1670, 18490, 18249, 18080, 996, 18041, 18028]",[18254],Not Found,0.0
0.5,NIKE_2021_10K,Financial report,"What is cash ratio  in FY2021 for Nike? Round your answer to two decimal places.

 ","[18038, 18031, 17992, 18041, 18034, 4260, 18028, 18070, 1014, 18030]",[18254],Not Found,0.0
0.5,NIKE_2021_10K,Financial report,"What is quick ratio cycle in FY2021 for Nike? Round your answer to two decimal places.

","[17992, 17991, 18031, 18037, 17835, 1085, 18028, 996, 18013, 18038]",[18254],Not Found,0.0
0.5,NIKE_2021_10K,Financial report,what is accrual liabilities in FY2021 for Nike? Answer in millions.,"[18254, 18470, 18491, 18353, 1144, 18490, 18472, 996, 18251, 18025]",[18356],Not Found,0.0
0.5,NIKE_2021_10K,Financial report,What are the  key categories that Nike focuses on for their brand product offerings?,"[18470, 18471, 17793, 17759, 17975, 18025, 18072, 18038, 17799, 18032]",[17759],4,1.0
0.5,N19-1170,Academic paper,Does increasing specificity in responses lead to more nonsensical outputs?,"[6046, 6053, 6140, 6145, 6138, 6085, 6052, 6045, 6135, 6054]",[6044],Not Found,0.0
0.5,N19-1170,Academic paper,Was the conditional training method effective in controlling response-relatedness?,"[6022, 6034, 5995, 6067, 6009, 6054, 6061, 6140, 6138, 6143]","[6040, 6054]",6,0.5
0.5,N19-1170,Academic paper,How is the attribute of Specificity quantitatively determined according to Figure 1?,"[6001, 6076, 6078, 5999, 6087, 6034, 11197, 5883, 6140, 6151]",[5999],4,1.0
