lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Where was Gestalt psychology concieved?,"[372, 375, 370, 378, 380, 376, 385, 397, 371, 394]",[372],1,1.0
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,According to the chart on page 14 how much time was spent with family and friends in 2010?,"[405, 406, 5272, 9151, 3996, 23520, 24597, 61, 24599, 6032]","[404, 405]",1,0.5
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,What range does red color represents in approximate distance from the Mississippi River in the chart that tracks the West NIle Virus in Europe?,"[393, 391, 24295, 3266, 3568, 22927, 23576, 16564, 3566, 3029]",[393],1,1.0
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,How does this document define the law of good gestalt?,"[399, 398, 395, 400, 396, 401, 397, 24172, 6777, 24081]",[396],5,1.0
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Which category has the most increase from 2005 to 2010 for time spent on weedends?,"[406, 405, 18456, 12153, 11088, 23507, 553, 23500, 49, 20506]","[404, 405]",2,0.5
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Which continent has the most number of registered participant for advanced science course in CTBTO?,"[404, 2013, 4638, 9458, 5162, 17664, 3381, 20748, 19550, 19994]","[401, 404]",1,0.5
0.5,0e94b4197b10096b1f4c699701570fbf,Tutorial/Workshop,Which shapes does the slide use to illustrate the closure aspect of Gestalt Principle of Visual Perception?,"[386, 370, 387, 381, 390, 375, 379, 391, 397, 373]",[387],3,1.0
0.5,2310.05634v2,Academic paper,"In figure 1, which relation arrows do not point to specific leaf nodes?","[3908, 22924, 24406, 6975, 25996, 20050, 2693, 23958, 3849, 26049]",[25992],Not Found,0.0
0.5,2310.05634v2,Academic paper,"In figure 5, what is the color of the line that has no intersection with any other line?","[20050, 23982, 24005, 25059, 24004, 24849, 387, 23998, 24286, 23996]",[26078],Not Found,0.0
0.5,2310.05634v2,Academic paper,"How many tables include ""F1"" as a metric?","[2988, 12960, 22280, 22705, 2917, 3465, 22278, 22277, 3350, 2978]","[26057, 26068, 26062, 26084]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"From the paper, which temperature gives ChatGPT the highest alignment score?","[23345, 23344, 22292, 22561, 13207, 3041, 22458, 2700, 22893, 2529]","[26064, 26062]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"For dataset construction, which step takes the most word to describe than the others. ","[22182, 22924, 22897, 22185, 22176, 2897, 3241, 25997, 3816, 22922]","[26144, 26145, 26146, 26147, 26148, 26149, 26150, 26151, 26138, 26141, 26142, 26143]",Not Found,0.0
0.5,2310.05634v2,Academic paper,"According to author's definition on conscious incompetence, when can a sentence map to both [NA] and a list of sub-graph knowledge?","[26003, 26047, 26045, 26026, 26144, 26049, 26074, 25996, 25989, 26038]","[26002, 26003, 26004]",1,0.33
0.5,2024.ug.eprospectus,Brochure,Which groups of applicants have the lastest end of application period according to this brochure?,"[20906, 1968, 14873, 12582, 14869, 14555, 12654, 14806, 12583, 15063]",[20153],Not Found,0.0
0.5,2024.ug.eprospectus,Brochure,"Among the top 10 reasons why NTU smart campus is for you, which is the reason that does not include any person in the corresponding figure?","[19602, 19587, 19604, 20056, 19601, 8695, 20055, 20039, 20037, 20038]",[19602],1,1.0
0.5,2024.ug.eprospectus,Brochure,Student from which major has a picture of playing badminton in this brochure?,"[20095, 18311, 23834, 22615, 3439, 19734, 23881, 25818, 3527, 24965]",[20097],Not Found,0.0
0.5,2024.ug.eprospectus,Brochure,Which colleges/schools/institutes from NTU use year 3 students as cover page student model?,"[20134, 19683, 19951, 19668, 19699, 19591, 19625, 19680, 19641, 19848]","[19696, 19964, 19967]",Not Found,0.0
0.5,2303.08559v2,Academic paper,What is the performance of filter-then-rerank methods (w.o. ensemble) on 50-shot TACREV dataset?,"[22309, 22488, 22532, 22324, 22340, 22490, 22341, 22336, 22451, 22337]","[22336, 22323]",8,0.5
0.5,2303.08559v2,Academic paper,Repeat the instructions corresponding to the settings shown in red box of Figure 3 (left).,"[22450, 24245, 3238, 23955, 12947, 24481, 3727, 25593, 24572, 22899]","[22464, 22465, 22466, 22467, 22277, 22286, 22463]",Not Found,0.0
0.5,2303.08559v2,Academic paper,Tell me the prompt template used for label 'Contact.Meet' in filter-then-rerank method of this work. ,"[22532, 22260, 22549, 10752, 22247, 22671, 12729, 4697, 2663, 22340]","[22548, 22549]",3,0.5
0.5,2303.08559v2,Academic paper,"If I drop the green module shown in Figure 6,  what is the absolute percentage drop on 100-shot TACREV setting?","[22336, 22451, 22337, 22547, 22476, 22309, 22341, 22278, 23864, 22315]","[22323, 22341]",7,0.5
0.5,05-03-18-political-release,Research report / Introduction,"Among the adults conducted the survey on April 25 - May 1 2018, how many adults rated Trump's government ethical standards as poor? ","[97, 70, 75, 78, 24, 26, 76, 25, 66, 74]","[30, 15]",Not Found,0.0
0.5,05-03-18-political-release,Research report / Introduction,"According to the survey on April 25 - May 1, 2018, what are the domains with the highest percentage that adults are very confident and not at all confident of Donald Trump's govenment? Please write the answer in the list format and with alphabetical order, e.g., [""A"",""B""]","[139, 49, 743, 430, 476, 568, 41, 739, 19, 944]","[41, 19]",7,1.0
0.5,05-03-18-political-release,Research report / Introduction,"What percentage of the party that holds the highest total percentage of good policy ideas and high ethical standards reported that they followed the news about congressional elections in their state very closely in the survey of U.S. adults conducted from April 25 to May 1, 2018?","[97, 105, 109, 107, 99, 30, 103, 70, 108, 25]","[97, 105, 106, 107, 112, 113, 114, 115, 94]",1,0.33
