lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,52b3137455e7ca4df65021a200aef724,Tutorial/Workshop,What is the title of module 1?,"[4081, 4080, 4079, 4078, 4082, 4083, 4062, 4075, 4073, 4054]",[4085],Not Found,0.0
0.5,52b3137455e7ca4df65021a200aef724,Tutorial/Workshop,What is the web address in the orange box in page 47 that gives the Wiki Query Service code?,"[4187, 4184, 4177, 4125, 4111, 4114, 4168, 4129, 4180, 4122]",[4223],Not Found,0.0
0.5,52b3137455e7ca4df65021a200aef724,Tutorial/Workshop,Which example notebook does module 3 use to show how to create an interactive map?,"[4079, 4080, 4081, 4500, 4436, 4524, 4501, 4054, 4432, 4536]","[4489, 4493]",Not Found,0.0
0.5,52b3137455e7ca4df65021a200aef724,Tutorial/Workshop,How many distinct Netherlands location images does this slide use as examples?,"[4122, 543, 374, 272, 392, 2396, 4114, 1232, 4100, 4102]","[4249, 4266, 4115]",Not Found,0.0
0.5,2401.18059v1,Academic paper,What are the horizontal and vertical axis of Figure 3 respectively?,"[1071, 1206, 5461, 5466, 5465, 1074, 1200, 1204, 1742, 755]",[2100],Not Found,0.0
0.5,2401.18059v1,Academic paper,"Based on ""PSEUDOCODE FOR RETRIEVAL METHODS"", which algorithm has more number of lines? (Give the algorithm name)","[2242, 2241, 1878, 2070, 1942, 2093, 1723, 1913, 1939, 2102]","[2242, 2245]",1,0.5
0.5,2401.18059v1,Academic paper,"In Figure 1's demonstration, what are the color of the nodes that appear in more than one clusters?","[1090, 1089, 1428, 2127, 2267, 2110, 2088, 2279, 2280, 2275]",[2066],Not Found,0.0
0.5,2401.18059v1,Academic paper,"What model is the clustering algorithm of this paper based on, and what presents a challenge to it?","[2135, 113, 1773, 1802, 1811, 1518, 2287, 24, 1537, 8]","[2081, 2083]",Not Found,0.0
0.5,2401.18059v1,Academic paper,Write down the pseudo code from appendix that corresponds to step 5 of the tree traversal method,"[2091, 2095, 2078, 2242, 2093, 2098, 2090, 2100, 2245, 2096]","[2080, 2081, 2242, 2091, 2092, 2094]",1,0.33
0.5,2312.10997v5,Academic paper,"In figure 3, how many distinct icons are used?","[11565, 11152, 5400, 4391, 277, 5413, 11603, 4139, 266, 11318]","[1858, 1846]",Not Found,0.0
0.5,2312.10997v5,Academic paper,What is the paper's full title that proposes the method that has a retrieval granularity of phrase?,"[1887, 2015, 1874, 1885, 1878, 1876, 2244, 2098, 1886, 1859]","[1878, 1997, 2014]",5,0.33
0.5,2312.10997v5,Academic paper,"Which subsection does the section ""AUGMENTATION PROCESS IN RAG"" include?","[1839, 1854, 1838, 1869, 1878, 1836, 1833, 2029, 1827, 1916]","[1937, 1933, 1941]",Not Found,0.0
0.5,2312.10997v5,Academic paper,Which method integrates knowledge into white-box models via directive fine-tuning?,"[1916, 1917, 1686, 1820, 301, 1537, 2030, 304, 1705, 1780]","[1916, 1900, 1917, 1902]",1,0.5
0.5,Bergen-Brochure-en-2022-23,Brochure,How many goblets appear in the figure showing Skyskraoeren?,"[11233, 11701, 12149, 11625, 11984, 11987, 11300, 11275, 11570, 11628]","[11613, 11623]",Not Found,0.0
0.5,Bergen-Brochure-en-2022-23,Brochure,Which attraction in Bergen is not friendly to people with wheelchair?,"[11237, 11583, 11891, 11188, 12072, 11584, 11245, 11208, 11244, 12131]","[11315, 11314, 11275, 11254]",Not Found,0.0
0.5,Bergen-Brochure-en-2022-23,Brochure,"Which transport is included in ""Norway in a Nutshell"" but not ""Sognefjord in a Nutshell""","[12046, 12189, 12024, 12045, 11253, 12047, 12089, 12044, 12048, 12070]",[12029],Not Found,0.0
0.5,Bergen-Brochure-en-2022-23,Brochure,"How many ""WC""s are shown in the last page's map?","[11320, 11278, 5003, 4139, 11527, 11128, 5400, 11127, 234, 4190]","[12189, 12190]",Not Found,0.0
0.5,379f44022bb27aa53efd5d322c7b57bf,Research report / Introduction,What is the telephone no for The Limes Residential Home?,"[2628, 2632, 2608, 2670, 2609, 2633, 5274, 5230, 5295, 5300]",[2611],Not Found,0.0
0.5,379f44022bb27aa53efd5d322c7b57bf,Research report / Introduction,List the primary questions asked about the services in this report.,"[2645, 5220, 1227, 1226, 1228, 2646, 5104, 5218, 1960, 2193]","[2689, 2724, 2702, 2735, 2676, 2741, 2713, 2751]",Not Found,0.0
0.5,2311.16502v3,Academic paper,How many samples in MMMU belong to sociology subject?,"[298, 1211, 266, 268, 263, 262, 264, 342, 341, 329]","[272, 277]",Not Found,0.0
0.5,2311.16502v3,Academic paper,"Among all samples belonging to 'Public Health' subject,  how many percentage samples showcased in this paper? Give me a ratio.","[1312, 1213, 1459, 2366, 1581, 1217, 1705, 574, 569, 1730]","[359, 360, 361, 272, 277]",Not Found,0.0
0.5,2311.16502v3,Academic paper,How many Economics-related error cases fall into the Error Category of Perceptual Error? ,"[460, 1121, 860, 771, 576, 1060, 1041, 709, 389, 900]",[362],Not Found,0.0
0.5,2311.16502v3,Academic paper,"According to this paper,  What's the GPT-4V's performance difference between CS subject and math subject on MMMU datasets? ","[2435, 354, 2438, 2439, 277, 268, 353, 332, 356, 352]","[353, 354, 356, 357]",2,0.75
0.5,2311.16502v3,Academic paper,How many different icon are shown as different image types in Figure 1?,"[4139, 5428, 11565, 5400, 5413, 5414, 11318, 5424, 11152, 277]",[266],Not Found,0.0
0.5,2311.16502v3,Academic paper,How many charts are included in Pages 5-10?,"[4868, 268, 5168, 5175, 5202, 307, 11180, 5157, 298, 1313]","[323, 295, 307, 311, 318]",6,0.2
0.5,2311.16502v3,Academic paper,"According to this paper, among nice different datasets in Fig 4, which one can reflect the most breadth of knowledge?","[1678, 1562, 316, 1690, 1781, 2098, 1566, 1555, 1706, 1684]",[295],Not Found,0.0
0.5,2311.16502v3,Academic paper,List the top-3 error types over 150 annotated GPT-4V errors in Figure 6,"[318, 321, 278, 322, 2516, 2404, 324, 1023, 707, 53]","[322, 326, 327, 307, 310, 316, 318]",1,0.29
