lambda_rel,doc_name,domain,question,layout_retrieved,gt,first_hit_rank,recall
0.5,Independents-Report,Research report / Introduction,What's the percentage of people who are democrats and voted in the last election compared to the entire population in 2018?,"[17538, 17536, 17534, 17599, 17539, 17524, 17533, 17523, 17573, 17612]","[17518, 17522, 17523, 17524, 17527, 17534, 17535]",3,0.43
0.5,Independents-Report,Research report / Introduction,"According to this report, which group is greater in population in 2018? Republican who are hispanic, or no leans who are male?","[17599, 17536, 17612, 17538, 17615, 17557, 17584, 17539, 17524, 17533]","[17522, 17518, 17615]",5,0.33
0.5,Independents-Report,Research report / Introduction,"According to this report, how many charts provide no opinions only from the ""no lean"" group?","[17562, 17564, 17565, 17607, 17563, 17566, 17584, 17555, 17560, 17561]","[17555, 17573]",8,0.5
0.5,GPL-Graduate-Studies-Professional-Learning-Brochure-Jul-2021,Brochure,How many people with scarf are there in  Page 5?,"[2335, 6894, 9041, 7656, 7505, 13569, 13511, 950, 295, 12148]",[12845],Not Found,0.0
0.5,GPL-Graduate-Studies-Professional-Learning-Brochure-Jul-2021,Brochure,Which program has the longest time period among all the leadership programmes?,"[2619, 2628, 6647, 12863, 5109, 7558, 2657, 10185, 7671, 2661]",[12947],Not Found,0.0
0.5,GPL-Graduate-Studies-Professional-Learning-Brochure-Jul-2021,Brochure,Which programme by coursework with disciplinary content allows to have the maximum of 3 years full-time duration? Write down the answer with alphabetical order. ,"[19316, 12864, 13286, 12878, 17383, 17421, 19415, 1174, 15656, 15657]","[12864, 12859]",2,0.5
0.5,DSA-278777,Guidebook,How many parts has the prefix N in the packages?,"[8002, 7959, 7961, 10375, 6520, 252, 6885, 2433, 1222, 9941]",[7959],2,1.0
0.5,DSA-278777,Guidebook,Which port has the alternative function that capture Trigger from port 0-3?,"[7972, 7979, 8032, 7969, 8049, 8020, 7956, 7977, 8031, 8047]",[7972],1,1.0
0.5,DSA-278777,Guidebook,What is the minimum voltage of the symbol at the bottom left corner in the Figure of EPROM programming and verification waveforms? Write down the answer in float format.,"[8065, 8103, 8101, 8043, 8016, 8068, 8078, 8010, 8054, 7972]","[8064, 8065]",1,0.5
0.5,DSA-278777,Guidebook,"How many waveform figures are contained in the guidebook for 272318? List the page numbers in the list format in ascending order,e.g., [""1"",""2""]","[6043, 4965, 6505, 6078, 6579, 8049, 2549, 195, 565, 6079]","[8032, 8065, 8070, 8038, 8103, 8041, 8043, 8078]",Not Found,0.0
0.5,DSA-278777,Guidebook,How many connection graphs are contained in the guidebook?,"[6366, 6207, 6025, 5891, 6031, 13142, 5987, 6476, 13052, 1664]","[7961, 7988]",Not Found,0.0
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,What is the central component of the figure at page 17?,"[6827, 6584, 10524, 10583, 10498, 8184, 10962, 12385, 12386, 12388]",[927],Not Found,0.0
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,How many ECS components wiil the AliCloud DNS go through in the figure at Page 18?,"[932, 7972, 867, 8067, 951, 8015, 8101, 6286, 7986, 8039]","[928, 932]",1,0.5
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,How many cameras outside the China area does the figure at Page 19 has? Write the answer in float format.,"[875, 942, 5392, 907, 809, 16303, 791, 828, 808, 17913]",[942],2,1.0
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,How many website url does the document have?,"[14222, 8671, 4135, 13553, 13566, 13538, 10498, 275, 15116, 10583]","[960, 834, 963, 968, 970, 971, 974, 924]",Not Found,0.0
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,How many data centers does the China's largest cloud provider have?,"[811, 810, 809, 812, 808, 813, 907, 806, 791, 824]","[800, 809, 811]",1,0.67
0.5,Campaign_038_Introducing_AC_Whitepaper_v5e,Brochure,Which cities does the China's largest cloud provider have teams? Write the answer in list format with alphabetical rder.,"[811, 812, 808, 813, 809, 810, 970, 856, 942, 907]","[800, 808, 809, 811, 812]",1,0.8
0.5,ISEP_student_handbook_2020,Brochure,Which compulsory ISEP courses does the students must have? Write the answer in list format in ascending order. ,"[17384, 17336, 17493, 17466, 17387, 17350, 7976, 17385, 12972, 17386]","[17307, 17309]",Not Found,0.0
0.5,ISEP_student_handbook_2020,Brochure,How many areas do the course requiremnt have?,"[13145, 13378, 12926, 13410, 17309, 17307, 13296, 13289, 13290, 13146]","[17307, 17309, 17325]",5,0.67
0.5,ISEP_student_handbook_2020,Brochure,What is the maximum hours of ISEP buddy scheme does a Singaporean ISEP students require to do?,"[17386, 17387, 18054, 17384, 17393, 17355, 17494, 17345, 7745, 13377]","[17386, 17387]",1,1.0
0.5,ISEP_student_handbook_2020,Brochure,"What is the deadline  month of the January intake ISEP students need to nominate supervisors and nominations of tac? Write the answer in list format, e.g., [""Jan"",""Feb""]","[17405, 17307, 17404, 17417, 17412, 17466, 17414, 8525, 17403, 14987]",[17405],1,1.0
0.5,Guide-for-international-students-web,Guidebook,What is NTU standing for in this guidebook?,"[13052, 13352, 13028, 13547, 13088, 7606, 1925, 4965, 4543, 17502]",[13026],Not Found,0.0
